Year,Time,Session,Room,Capacity,Title,Leader1,Leader2,Leader3,Leader 4,Session notes,Hashtag,Twitter conversation
2015,10:40,1,LG7,,Fix my street for hospital software or something else,,,,,,,
2015,10:40,1,LG9,,Code that makes space for care,@lucillevalentin,,,,,,
2015,10:40,1,LG8,,Project Tide,Ariant Jani,,,,,,
2015,10:40,1,LG6,,Behavioural change healthcare (chat),@b_seven_e,,,,,,
2015,11:30,2,LG7,,Digital medical mobile restrictions,@jamesking,,,,,,
2015,11:30,2,LG9,,Links between health and social housing / data sharing,@Khan_Sahil,,,,,,
2015,11:30,2,LG8,,Making data work,Paul Cook,,,,,,
2015,11:30,2,LG6,,nhs.uk alpha,@sheldonline,,,,,,
2015,12:20,3,LG7,,How do we improve patient education?,@JonJHilton,,,,,,
2015,12:20,3,LG9,,What do we know?,@GlynRJones,,,,,,
2015,12:20,3,LG8,,Platform for support - mental health,@Sareh88,,,,,,
2015,12:20,3,LG6,,Health + Social care integration,@vickysargent,,,,,,
2015,14:30,4,LG7,,"Healthcare, Innovation, Open Source & Sustainability - Elixir of Life or ?-?-?",,,,,,,
2015,14:30,4,LG9,,GP Paperless practice opportunities & challenges,,,,,,,
2015,14:30,4,LG8,,Dynamic System Modeling,,,,,,,
2015,14:30,4,LG6,,Making patient voice ?-?-?,,,,,,,
2015,15:20,5,LG9,,Precision medicine,Marek Kultys,@sciencepractice,,,,,
2015,15:20,5,LG8,,Integrated health IT systems,Francis,,,,,,
2015,15:20,5,LG6,,Fast data processing (GPU acceleration etc.),,,,,,,
2015,16:10,6,LG7,,"Hard problems like care records, identity, consent",@sheldonline,,,,,,
2015,16:10,6,LG9,,Accessibility / Disability in smart cities,Paul Clayton,,,,,,
2015,16:10,6,LG8,,Clinicians trying to influence informatics,,,,,,,
2017,11:30,1,K0.31,22,Play in Children's emergency medicine,@jamesturnerux,,,,https://goo.gl/zCWs86,,
2017,11:30,1,S0.03,30,Social Prescribing,@its_elemental,Leanne Monk,,,https://goo.gl/3fE4v2,,
2017,11:30,1,S0.11,30,How do we make risk more meaningful,@willtube4food,,,,https://goo.gl/GrD5N3,,
2017,11:30,1,S0.12,30,Innovation pipelines,@jamesfreed5,,,,https://goo.gl/5AD4WA,,
2017,11:30,1,S0.13,30,"""STP's"" What? How? Ugh? Meh!",@cioportfolio,,,,https://goo.gl/A9JMWo,,
2017,12:30,2,K0.31,22,Digitising consent forms,@willtube4food,,,,https://goo.gl/ZdLzzY,,
2017,12:30,2,S0.03,30,Project failures: lessons learned/shared,@blu3id,,,,https://goo.gl/B2pCxp,,
2017,12:30,2,S0.11,30,Securing Important stuff better,@glynwintle,,,,https://goo.gl/9bKKRS,,
2017,12:30,2,S0.12,30,Supporting FGM survivors and protecting girls,@fgmcentre,,,,https://goo.gl/YUaVe2,,
2017,12:30,2,S0.13,30,Developing the digital workforce,@dibullman,@adapeck,Susan Kennedy,,https://goo.gl/kSrFVg,,
2017,14:00,3,K0.31,22,Digitising Maternity,Leila Shepherd,,,,https://goo.gl/GxycRH,,
2017,14:00,3,S0.03,30,Conversation about technology for independent living for older people,@hughbarnard,,,,https://goo.gl/dSBVGP,,
2017,14:00,3,S0.11,30,Data argument,@blangry,,,,https://goo.gl/WCE4Xv,,
2017,14:00,3,S0.12,30,"Empowering front line staff to make +/- stop change
How can frustrated clinicians use design to create a preferable future?",@bexmoxon,@blu3id,,,https://goo.gl/GVsxDb,,
2017,14:00,3,S0.13,30,"Preparedness for systemic catastrophes (pandemic, brexit, 21st century)",@lucasgonzalez,,,,https://goo.gl/8oLShp,,
2017,14:50,4,K0.31,22,Technology is not the solution ...finding meaning through warm health data.,@russellgundry,,,,https://goo.gl/PQPTMA,,
2017,14:50,4,S0.03,30,"Let's handle gender better in screening programs ""Screen my organs, not my birth certificate""",@deckofpandas,,,,https://goo.gl/aokZsk,,
2017,14:50,4,S0.11,30,For what conditions do we want supplemental data?,Lea Georgia Webb,,,,https://goo.gl/3PNNCR,,
2017,14:50,4,S0.12,30,"Rules of engagement for IT people outside the NHS with the NHS.
Using modern tech to share info. without breaking the same old laws. (PRA, FOI etc.)",@amcunningham,@glynrjones,,,https://goo.gl/WQ7Bgh,,
2017,14:50,4,S0.13,30,How to get involved in design/digital/innovation in the NHS,@dominicburton,@veeWilliams_,,,https://goo.gl/iWw3q9,,
2017,15:40,5,K0.64 ,150,"Procurement, can we do better?",@thatdavidmiller,,,,https://goo.gl/uz9CE6,,
2017,15:40,5,K0.31,22,"Cancer is the leading cause of death, How can we change that? ",@thanoskosmidis,,,,https://goo.gl/QQT7iv,,
2017,15:40,5,S0.03,30,"How can we talk about sensitive topics with real patients to do better user research?
Discussion on user research techniques from a human / emotional experience design perspective",@bitzesty,@CherryPeiSix,,,https://goo.gl/5qTZZ3,,
2017,15:40,5,S0.11,30,GDPR Data porting for research,,,,,https://goo.gl/qe85fH,,
2017,15:40,5,S0.12,30,Rahul Singh HIP care,@DRRahul_Singh1,,,,https://goo.gl/6fnVeA,,
2017,15:40,5,S0.13,30,NHS AI Artificial and Augmented Intelligence/opensource,@kellasj,,,,https://goo.gl/NRGzeh,,
2018,11:30,1,Defiant 1,,How can we use digital to stop Type 2 Diabetes,@BeFreeOfT2D,@dansodergren,,,,,
2018,11:30,1,Defiant 2,,Improving organ donation through user centered design,@UK_Phil,,,,,,
2018,11:30,1,Frontier,,Barcodes on the web identifiers & references,@philarcher1,,,,,,
2018,11:30,1,One and All,,Digital participation for young people,@MindOfMyOwnApp,,,,,,
2018,11:30,1,Solidarity,,"Design, UX Stuff & Accessibility",Kimb Jones,,,,,,
2018,12:20,2,Defiant 1,,Tackling Depression & Suicide,,,,,,,
2018,12:20,2,Defiant 2,,Julian Tudor Hart - What would he do starting now,@amcunningham,,,,,,
2018,12:20,2,Frontier,,Assessing and improving data quality in primary care,Matthew Brett,,,,,,
2018,12:20,2,One and All,,How do you solve a problem like GP IT Systems,@sheldonline,,,,,,
2018,12:20,2,Solidarity,,The cloud and how would you use it?,@TerryJRJoyce,,,,,,
2018,14:00,3,Defiant 1,,Design for trust,@mattedgar,,,,,,
2018,14:00,3,Defiant 2,,Secretary of State's Tech Agenda,@hadleybeeman,,,,,,
2018,14:00,3,One and All,,How can civic hackers contribute to use of data in healthcare,@northernjamie,,,,,,
2018,14:00,3,Solidarity,,Let's talk about adult social care,@mandalyn97,@we_are_Nomensa,,,,,
2018,14:00,3,Progress,,Co-design a user research plan,@AmyontheRoad,,,,,,
2018,14:55,4,Defiant 1,,System maturity on a Wardley Scale,David,,,,,,
2018,14:55,4,Defiant 2,,Digital strategies to improve recruitment of healthcare professionals,@wildlingmedic,,,,,,
2018,14:55,4,One and All,,Interoperability,@TonyYates,,,,,,
